R1_START	R1_END	R2_START	R2_END	UTR_IDX
781555	781666	781351	781501	0
781555	781666	781450	781600	0
781555	781666	781443	781593	0
781555	781666	781397	781547	0
781577	781688	781683	781833	0
781739	781850	781576	781726	0
781739	781850	781573	781723	0
781874	781985	781630	781780	0
781874	781985	781586	781736	0
781974	782085	782098	782210	0
782293	782404	782209	782359	0
782293	782404	782069	782219	0
782293	782404	782044	782194	0
785260	785376	785331	785481	1
785260	785376	785427	785577	1
785906	786021	785756	785906	1
785906	786021	785859	786009	1
972946	973231	973259	973582	5
972946	973231	973271	973594	5
972946	973231	973290	973613	5
805822	827524	805802	827523	6
810087	827513	810078	827512	6
810089	827513	808600	827506	6
810090	827513	808593	827499	6
810093	827519	808590	827496	6
810100	827519	810099	827517	6
810100	827533	808611	827517	6
810101	827524	808602	827508	6
810101	827524	810099	827522	6
810101	827524	808608	827514	6
810110	827534	808588	827494	6
810111	827534	810099	827525	6
810116	827541	808604	827510	6
810140	827563	810099	827525	6
816960	817071	816783	816933	6
817216	817326	817034	817184	6
817673	817797	817859	818009	6
182344	182620	182570	182720	7
182418	182528	182573	182723	7
182369	182481	182574	182724	7
182376	182486	182575	182725	7
182406	182516	182577	182727	7
182389	182499	182582	182732	7
182344	182620	182584	182734	7
182364	182478	182585	182735	7
182370	182481	182590	182740	7
182370	182481	182594	182744	7
182415	182525	182596	182746	7
182344	182619	182596	182746	7
182370	182481	182604	183139	7
182374	182485	182606	182747	7
182348	182623	182606	183141	7
182370	182481	182609	183144	7
182512	182623	182614	183149	7
182344	182619	182620	183155	7
182366	182485	182621	183156	7
182344	182619	182623	183158	7
182344	182619	182623	183158	7
182344	182619	182628	183163	7
182364	182477	182636	183171	7
182512	182623	182642	183177	7
182344	182620	182642	183177	7
182539	182650	182643	183178	7
182348	182622	182647	183182	7
182389	182499	182647	183182	7
182539	182650	182652	183187	7
182344	182620	182660	183195	7
182334	182620	182668	183203	7
182344	182619	182669	183204	7
182343	182620	182669	183204	7
182418	182528	182678	183213	7
182418	182528	182678	183213	7
182374	182482	182681	183216	7
182348	182623	182686	183218	7
182344	182619	182690	183217	7
182697	183193	183191	183840	7
831513	831624	831531	831681	8
831728	831848	831803	831953	8
831828	831946	831672	831822	8
831728	831848	831840	831990	8
831728	831848	831877	832027	8
831737	831848	831881	832031	8
832073	832197	831769	831919	8
832073	832197	831925	832075	8
832073	832197	831895	832045	8
832074	832198	831946	832096	8
832074	832198	831922	832072	8
832074	832198	831777	831927	8
832074	832198	831888	832038	8
832074	832198	831976	832126	8
832074	832198	831849	831999	8
832074	832198	831835	831985	8
630750	630863	630751	630891	9
630750	630863	630751	630901	9
630750	630863	630757	630907	9
630750	630863	630761	630911	9
630749	630863	630769	630919	9
630750	630863	630776	630926	9
630750	630863	630782	630911	9
630750	630863	630785	630935	9
630750	630863	630831	630981	9
630750	630863	630836	630980	9
630752	630863	630876	631020	9
630750	630864	630878	630973	9
630750	630863	630885	630984	9
630751	630863	630895	630992	9
630752	630863	630909	631048	9
630750	630863	630920	631070	9
415313	630887	630933	631083	9
630761	630873	630939	893805	9
625196	630874	630946	631096	9
625196	630865	630965	631071	9
625196	630865	630976	631071	9
630750	630863	630977	631069	9
630752	630863	630978	631071	9
630752	630863	630981	631071	9
629375	630863	631006	631156	9
630750	630863	631009	631159	9
630750	630863	631012	631162	9
630750	630863	631019	631169	9
630750	630863	631019	631169	9
630750	630863	631019	631169	9
630750	630863	631027	631177	9
630748	630863	631031	631181	9
630750	630863	631036	631186	9
630750	630863	631036	631186	9
630748	630863	631037	631186	9
630750	630863	631040	631190	9
625196	631183	631071	631211	9
368269	631183	631071	631219	9
625196	631183	631071	631187	9
368269	631183	631071	631215	9
395308	631183	631071	631198	9
395308	631183	631071	631219	9
625196	631183	631071	631210	9
625196	631183	631071	631213	9
625196	631183	631078	631228	9
625196	631183	631085	631235	9
625196	631183	631086	631236	9
625196	631183	631086	631236	9
631072	631183	631089	631239	9
631072	631183	631089	631239	9
631091	631215	631090	631236	9
631091	631215	631090	631239	9
631091	631215	631090	631233	9
631091	631215	631090	631236	9
631091	631215	631090	631238	9
631091	631215	631090	631235	9
631091	631215	631090	631235	9
631091	631215	631090	631239	9
631091	631215	631090	631235	9
631091	631215	631090	631238	9
631092	631216	631091	631233	9
631092	631216	631091	631237	9
631092	631216	631091	631236	9
625196	631183	631097	631247	9
439402	631110	631097	631247	9
368269	631183	631100	631250	9
616574	631183	631101	631251	9
631072	631183	631103	631253	9
348102	631183	631104	631254	9
462832	631183	631104	631254	9
625196	631183	631107	631257	9
524975	631110	631108	631258	9
631072	631183	631108	631258	9
631040	631151	631109	631213	9
532195	631183	631109	631259	9
631080	631183	631109	631253	9
625196	631183	631109	631259	9
625196	631183	631109	631259	9
631072	631183	631109	631259	9
395308	631183	631110	631260	9
452042	631182	631112	631262	9
395308	631183	631113	631263	9
631072	631183	631114	631264	9
625196	631183	631114	631264	9
625432	631183	631115	631265	9
625196	631183	631116	631266	9
395308	631183	631117	631267	9
629573	631113	631118	631268	9
395308	631183	631118	631268	9
631080	631181	631121	631268	9
625196	631183	631121	631271	9
395308	631183	631122	631272	9
499493	631183	631124	631274	9
504364	631183	631125	631275	9
631072	631184	631126	631276	9
533669	631184	631127	631277	9
631072	631182	631127	631277	9
425379	631183	631127	631277	9
631072	631183	631128	631278	9
529933	631183	631128	631278	9
631072	631183	631128	631278	9
518822	631183	631128	631278	9
631072	631182	631130	631280	9
631072	631183	631130	631280	9
625196	631183	631130	631276	9
631072	631183	631132	631282	9
631072	631183	631132	631282	9
395308	631183	631132	631282	9
507251	631110	631132	631282	9
625196	631183	631133	631283	9
395308	631183	631133	631283	9
631072	631184	631133	631283	9
368269	631183	631134	631284	9
368269	631183	631135	631285	9
625196	631183	631136	631286	9
625196	631183	631136	631286	9
631072	631183	631136	743891	9
368269	631183	631138	631288	9
511285	631183	631139	631289	9
407945	631183	631139	631289	9
631072	631182	631140	631290	9
631072	631183	631140	631290	9
631072	631182	631140	631290	9
368269	631183	631141	631291	9
625196	631183	631141	631291	9
368269	631183	631142	631292	9
461500	631183	631142	631292	9
625196	631183	631142	631292	9
450819	631183	631142	631292	9
631072	631182	631143	631292	9
631072	631183	631143	631292	9
453178	631183	631143	631292	9
448341	631183	631145	631295	9
631147	631214	631132	631264	9
631072	631183	631147	631292	9
625196	631183	631148	631298	9
368269	631183	631148	631298	9
625196	631183	631149	631299	9
498559	631183	631150	631300	9
368269	631183	631151	631301	9
625196	631183	631151	631301	9
631072	631183	631151	631301	9
625196	631183	631151	631301	9
625196	631183	631151	631301	9
368269	631183	631151	631301	9
395308	631183	631152	631302	9
625196	631183	631153	631303	9
368269	631183	631153	631303	9
522322	631184	631153	631303	9
625196	631183	631153	631303	9
625196	631183	631153	631303	9
625196	631183	631153	631303	9
625196	631183	631153	631303	9
594344	631183	631154	631304	9
625196	631183	631155	631305	9
453028	631183	631155	631305	9
625196	631181	631155	631305	9
625196	631183	631155	631305	9
631072	631183	631155	631305	9
517712	631183	631155	631305	9
533904	631183	631156	631306	9
631072	631183	631157	631274	9
522179	631183	631157	631307	9
625196	631183	631158	631308	9
395308	631183	631158	631308	9
625196	631183	631158	631308	9
395308	631183	631158	631308	9
395308	631183	631159	631309	9
435382	631183	631159	631309	9
368269	631183	631159	631309	9
631072	631183	631159	631309	9
518822	631183	631160	631310	9
625196	631183	631160	631310	9
625196	631183	631160	631310	9
462832	631183	631160	631310	9
625196	631183	631161	631311	9
625196	631183	631161	631311	9
625196	631183	631161	631311	9
480543	631183	631161	631311	9
395308	631183	631161	631311	9
472003	631184	631161	631311	9
489507	631183	631161	631311	9
631072	631183	631161	631311	9
625196	631183	631161	631311	9
625196	631183	631161	631311	9
625196	631183	631161	631311	9
631087	631183	631162	631279	9
631071	631182	631162	631312	9
631081	631193	631164	631314	9
368269	631183	631164	631314	9
631072	631183	631164	631314	9
483757	631183	631165	631315	9
504123	631183	631165	631315	9
631072	631183	631165	631315	9
368269	631183	631165	631315	9
535471	631183	631166	631316	9
368269	631183	631166	631316	9
519137	631183	631166	631316	9
532195	631183	631166	631316	9
522324	631182	631166	631316	9
631072	631183	631166	631316	9
348780	631183	631168	631318	9
395308	631183	631168	631318	9
511205	631183	631168	631318	9
440423	631183	631168	631318	9
395308	631183	631168	631318	9
395308	631183	631168	631318	9
368269	631183	631168	631318	9
435275	631183	631169	631319	9
459991	631183	631169	631320	9
368269	631183	631169	631319	9
416715	631182	631169	631319	9
368269	631183	631169	631319	9
443221	631183	631170	631320	9
631072	631183	631170	631320	9
368269	631183	631170	631320	9
631072	631183	631170	631320	9
631072	631183	631171	631321	9
368269	631183	631171	631321	9
368269	631183	631171	631321	9
358964	631184	631171	631321	9
395308	631183	631171	631321	9
416704	631183	631172	631322	9
450275	631183	631172	631322	9
505217	631183	631172	631322	9
368269	631183	631173	631323	9
368269	631183	631173	631323	9
631072	631184	631173	631323	9
595687	631183	631173	631323	9
631081	631162	631174	631324	9
443390	631183	631174	631324	9
625196	631183	631174	631324	9
625196	631183	631175	631325	9
631072	631183	631175	631325	9
462832	631183	631175	631325	9
625196	631183	631175	631325	9
416078	631183	631175	631325	9
522179	631183	631175	631325	9
524526	631183	631175	631325	9
395308	631183	631175	631325	9
631091	631215	631176	631326	9
631091	631215	631176	631326	9
631087	631193	631176	631292	9
625196	631183	631176	631326	9
395308	631183	631176	631326	9
631072	631184	631177	631327	9
368269	631183	631177	631327	9
473347	631110	631177	631327	9
414400	631183	631177	631327	9
631072	631183	631177	631327	9
625196	631183	631177	631327	9
459820	631183	631177	631327	9
368269	631183	631177	631327	9
625196	631183	631178	631328	9
506160	631182	631178	631328	9
521932	631183	631178	631328	9
631072	631182	631178	631328	9
511205	631183	631178	631326	9
462832	631183	631178	631328	9
368269	631183	631178	631328	9
625196	631183	631178	631328	9
605294	631183	631178	631328	9
631072	631183	631178	631327	9
631072	631183	631178	631328	9
400553	631183	631178	631328	9
368269	631183	631178	631328	9
395308	631183	631179	631329	9
395308	631183	631179	631329	9
631072	631183	631179	631329	9
597317	631183	631179	631329	9
368269	631183	631179	631329	9
631072	631183	631179	631329	9
625196	631183	631179	631329	9
631072	631183	631179	631329	9
629573	631110	631181	631331	9
625196	631181	631181	631331	9
631072	631183	631181	631331	9
535055	631183	631181	631331	9
625196	631183	631181	631331	9
625196	631183	631181	631331	9
625196	631183	631181	631331	9
631072	631183	631181	631331	9
625196	631183	631182	631332	9
462978	631183	631182	631332	9
631072	631183	631182	631331	9
631072	631183	631182	631332	9
631072	631183	631182	631332	9
631072	631183	631182	631332	9
395308	631183	631184	631334	9
395308	631183	631184	631334	9
368269	631183	631185	631335	9
485157	631183	631185	631335	9
625196	631183	631185	631335	9
518822	631183	631185	631335	9
450275	631183	631185	631335	9
390272	631183	631185	631335	9
625196	631183	631186	631336	9
509779	631183	631186	631336	9
368269	631183	631186	631336	9
625196	631183	631186	631336	9
631072	631183	631186	631336	9
452042	631182	631186	631336	9
395308	631183	631186	631334	9
631072	631183	631186	631336	9
625196	631183	631186	631336	9
368269	631183	631186	631336	9
362381	631183	631187	631337	9
368269	631183	631188	631338	9
631072	631183	631188	631338	9
395308	631183	631188	631338	9
429840	631183	631188	631338	9
368269	631183	631188	631338	9
395308	631183	631188	631338	9
625195	631182	631188	631338	9
631072	631183	631188	631338	9
625196	631183	631188	631338	9
368269	631183	631188	631338	9
631072	631183	631189	631338	9
625196	631183	631189	631339	9
631072	631183	631189	631339	9
462832	631183	631189	631339	9
631072	631184	631190	631325	9
375562	631183	631190	631340	9
631072	631183	631190	631340	9
631072	631183	631190	631340	9
631071	631183	631190	631340	9
631072	631183	631190	631340	9
631072	631183	631190	631340	9
631072	631183	631190	631340	9
395308	631183	631190	631340	9
368269	631183	631191	631341	9
631072	631183	631191	631341	9
412072	631183	631191	631340	9
631072	631183	631191	631341	9
462832	631183	631194	631343	9
625196	631183	631194	631344	9
518275	631183	631194	631344	9
368269	631183	631194	631342	9
463751	631183	631194	631344	9
625196	631183	631194	631344	9
474271	631183	631194	631344	9
523494	631184	631194	631344	9
625195	631182	631194	631344	9
507765	631183	631194	631343	9
368269	631183	631194	631343	9
395308	631183	631194	631344	9
395308	631183	631194	631344	9
448788	631183	631194	631342	9
625196	631183	631194	631344	9
395308	631183	631194	631342	9
506160	631182	631194	631344	9
395308	631183	631194	631344	9
625196	631183	631194	631343	9
36855	631183	631195	631345	9
511205	631183	631195	631345	9
498559	631183	631195	631345	9
368269	631183	631195	631345	9
625196	631183	631195	631345	9
395308	631183	631195	631345	9
368269	631183	631196	631346	9
520217	631183	631196	631346	9
531956	631183	631196	631346	9
631091	631215	631197	631342	9
419038	631183	631197	631347	9
416715	631182	631197	631347	9
524439	631184	631197	631347	9
625972	631183	631197	631347	9
395308	631183	631197	631347	9
462832	631183	631197	631347	9
359115	631183	631197	631347	9
442090	631183	631197	631347	9
473785	631183	631197	631347	9
477427	631183	631197	631347	9
497105	631183	631197	631347	9
625196	631183	631197	631347	9
472774	631110	631197	631347	9
368269	631183	631197	631347	9
456482	631183	631197	631347	9
625196	631183	631197	631347	9
375113	631183	631198	631348	9
368269	631183	631199	631349	9
462430	631183	631199	631349	9
624742	631183	631199	631349	9
368269	631183	631199	631349	9
395308	631183	631199	631349	9
592627	631183	631201	631343	9
481982	631183	631201	631351	9
485064	631183	631202	631352	9
462832	631183	631202	631352	9
625196	631183	631202	631352	9
395308	631183	631202	631352	9
521743	631183	631202	631352	9
462832	631183	631202	631352	9
625196	631183	631202	631352	9
625196	631183	631202	631352	9
525149	631183	631202	631352	9
368270	631183	631202	631352	9
454051	631183	631202	631352	9
625196	631183	631202	631352	9
407687	631183	631202	631352	9
522322	631183	631202	631352	9
375064	631183	631202	631352	9
518822	631183	631202	631352	9
368269	631183	631202	631352	9
625196	631183	631202	631352	9
447126	631183	631202	631352	9
407791	631183	631202	631352	9
450423	631186	631203	631353	9
368269	631183	631203	631353	9
368269	631183	631203	631353	9
415770	631184	631204	631354	9
453172	631183	631204	631354	9
418247	631183	631204	631354	9
473347	631183	631204	631354	9
473347	631183	631205	631355	9
532132	631183	631205	631355	9
473921	631183	631205	631355	9
425068	631183	631205	631355	9
395309	631183	631205	631305	9
628995	631243	631205	631355	9
368269	631183	631206	631356	9
530328	631183	631206	631356	9
591407	631183	631206	631356	9
435887	631183	631206	631356	9
358964	631184	631206	631356	9
631091	631215	631207	631357	9
496820	631183	631207	631356	9
407945	631183	631207	631357	9
625196	631183	631207	631357	9
368269	631183	631207	631357	9
625196	631183	631207	631357	9
625196	631183	631207	631357	9
368269	631183	631208	631358	9
395308	631183	631208	631358	9
625196	631183	631208	631358	9
395308	631183	631208	631358	9
478290	631183	631208	631358	9
631091	631215	631209	631359	9
395308	631183	631209	631359	9
625196	631183	631209	631359	9
447420	631183	631209	631359	9
395308	631183	631209	631359	9
594536	631183	631209	631359	9
368269	631183	631209	631359	9
368269	631183	631210	631360	9
448217	631183	631210	631360	9
625196	631183	631210	631360	9
625196	631183	631210	631360	9
368269	631183	631210	631360	9
518620	631183	631210	631360	9
488669	631184	631210	631360	9
368269	631110	631210	631360	9
470457	631183	631210	631360	9
625196	631183	631211	631361	9
631091	631215	631211	631361	9
625196	631183	631211	631361	9
513181	631183	631211	631361	9
625196	631183	631211	631361	9
459899	631183	631211	631361	9
416562	631183	631211	631361	9
500594	631183	631211	631361	9
395308	631183	631211	631361	9
509465	631183	631211	631360	9
446809	631183	631211	631361	9
395308	631183	631211	631361	9
521932	631183	631211	631361	9
625196	631183	631211	631361	9
416715	631182	631211	631361	9
506160	631182	631211	631361	9
427393	631184	631212	631362	9
21493	631183	631212	631362	9
368269	631183	631212	631362	9
